Genes,E-M-DEAE-E1,E-M-DEAE-E2,E-M-DEAE-FT_G,E-M-DEAE-E1_G,E-TFF1_R,E-TFF1_M
REPS1,0.1972,0.1982,0.4261,0.2385,0.5507,0.2271
HVCN1,0.0584,0.1602,0.1335,0.143,0.2653,0.0848
RMDN1,0.8473,0.0533,0.8722,0.1669,1.3099,0.3873
NUDT16,0.1904,0.1635,0.2111,0.1666,0.1089,0.1643
CMBL,0.3048,0.3334,0.2819,0.3647,0.3788,0.2541
RMC1,0.5156,0.4661,0.8068,0.4492,0.4247,0.2872
MUCL1,0.5289,0.7731,0.5891,0.1264,1.142,1.209
RSPRY1,0.2954,0.26,0.2542,0.3896,0.3547,0.1848
ERLEC1,1.4372,0.125,0.4167,0.0725,0.0539,0.1311
CLIP3,0.1977,0.2819,0.2029,0.2188,0.4139,0.1517
YIPF6,0.2225,0.0731,0.0749,0.0481,0.2879,0.1625
KIFBP,0.3673,0.2874,0.2298,0.2761,0.3033,0.2424
GNPNAT1,0.4072,0.2427,0.1646,0.3098,0.184,0.1066
L3HYPDH,0.1091,0.1417,0.548,0.1831,0.3248,0.1185
RNF31,0.2785,0.0853,0.2565,0.0538,0.3126,0.1953
DAZAP1,0.2082,0.0984,0.1265,0.0805,0.2869,0.1335
SGTB,0.3644,0.1517,0.3551,0.2142,0.3671,0.0846
C1GALT1C1,0.7614,0.2116,0.4019,0.0598,0.4939,0.2113
MVB12A,0.4011,0.4086,0.3395,0.2257,0.3688,0.1532
CYFIP2,0.4537,0.2268,0.385,0.2953,0.4065,0.3031
NRBF2,0.3435,0.0666,0.2361,0.1603,0.258,0.0399
IL17RA,0.46,0.3775,0.2004,0.3251,0.3023,0.1959
DISP1,0.3876,0.2123,0.3142,0.1532,0.3565,0.2254
CNRIP1,0.6593,0.8147,0.1883,0.901,0.1938,0.4223
PELI1,0.1726,0.0505,0.1124,0.0577,0.2187,0.0425
CPNE2,0.3212,0.4337,0.2089,0.4647,0.271,0.2269
S100A16,0.4182,1.5817,0.3318,2.4771,0.4463,0.6878
SIPA1,0.2618,0.2479,0.3706,0.225,0.8414,0.1961
OTUB1,0.5741,0.7493,0.3459,0.9985,0.2754,0.7043
CHMP6,0.3168,0.8682,0.3121,1.9396,0.4508,0.7408
PGM2,0.3061,0.7173,0.4608,0.85,0.483,0.3569
CERS2,1.1636,0.2114,1.5394,0.2431,1.4112,0.8009
VMP1,0.3604,0.6405,0.2779,0.4784,0.3271,0.2578
PDXP,0.2532,0.1233,0.0905,0.1349,0.3063,0.0924
FAHD2A,0.2974,0.1377,0.158,0.1422,0.2858,0.0972
SCARF2,0.3535,0.5302,0.2075,0.7003,0.6616,0.0977
RUSF1,0.2253,0.189,0.1857,0.0693,0.2483,0.0348
TIMD4,1.0274,0.4443,0.7827,0.5647,0.5144,0.5383
SNF8,0.2413,0.118,0.3035,0.2528,0.1893,0.2029
ZC3HAV1L,1.01,0.2734,1.0619,0.1858,0.8299,0.5596
PDLIM5,1.4914,0.8161,0.7324,0.8358,0.562,0.5602
CRELD1,0.3152,0.2404,0.4601,0.1828,0.3594,0.0947
ERO1A,0.389,0.3032,0.4772,0.3738,0.2722,0.2945
AHCYL2,0.3619,0.1605,0.2094,0.252,0.2172,0.1298
REEP6,0.1783,0.1258,0.2105,0.1398,0.363,0.137
PGAM5,0.2081,0.1781,0.1829,0.1452,0.2386,0.1348
DDRGK1,0.3137,0.2339,0.2603,0.2935,0.3084,0.0618
FUBP3,0.5958,0.1817,0.3101,0.1566,0.4358,0.2329
PPP1R16A,0.226,0.0664,0.041,0.173,0.3195,0.1039
SUCLG2,0.4915,0.1429,0.2233,0.0902,0.2882,0.1533
FBXL20,0.3514,0.1048,0.3056,0.2677,0.3824,0.3544
GMPPA,0.8493,0.3991,0.5614,0.5581,0.2937,0.4832
ABHD14B,0.7025,0.6642,0.6641,0.782,0.6514,0.6095
CPB2,11.5886,0.7554,8.9253,0.3776,4.1074,4.6921
ITCH,0.7033,1.0626,0.6563,1.1371,0.5166,0.6143
TXNDC15,0.5153,0.2465,0.2297,0.107,0.39,0.1304
KIRREL1,0.5294,1.1137,0.4313,1.1347,0.1846,0.4075
LRIG1,14.2736,0.8166,12.1582,0.8674,18.2208,0.4193
CDK5RAP3,0.2548,0.1253,0.2946,0.1756,0.1116,0.1749
VPS39,0.5602,0.2391,0.1823,0.1411,0.3554,0.1385
AKR1E2,0.3569,0.4713,0.3386,0.665,0.5473,0.36
VCPIP1,0.1778,0.1474,0.1767,0.0605,0.2331,0.0443
SPG11,3.8367,0.1583,3.4899,0.025,6.5592,2.4143
ELMO2,0.4002,0.9698,0.3273,0.9379,0.3916,0.3667
TMX3,3.8979,2.0723,3.6989,0.9391,3.1059,0.6902
DCHS1,0.2286,0.1182,0.2217,0.1887,0.0926,0.24
PDLIM2,0.2824,0.1266,0.0727,0.1288,0.3192,0.1503
BTF3L4,0.298,0.2958,0.2303,0.1277,0.3631,0.1974
SLC35E1,0.1198,0.032,0.1408,0.0348,0.2376,0.0473
TMEM87B,0.2727,0.4452,0.3756,0.2825,0.3718,0.283
USP47,0.2916,0.1256,0.1702,0.0891,0.1738,0.1525
CLPTM1L,0.2853,0.14,0.1793,0.1318,0.3152,0.0468
SCYL1,0.3374,0.4221,0.3135,0.5026,0.3204,0.3574
CNDP1,26.0373,0.9102,21.2305,0.4301,7.0554,11.0606
EXOC2,0.2469,0.9532,1.4406,0.9084,0.8311,0.717
CNDP2,0.8599,1.0515,0.7845,1.377,0.8286,0.8466
SNX27,0.4785,1.0346,0.4942,0.9141,0.9011,0.5179
DHRS1,0.3097,0.123,0.221,0.1557,0.1402,0.2786
CNBD2,0.401,0.2352,0.3988,0.1546,0.2871,0.0907
PRRC1,0.72,0.2285,0.7547,0.1619,0.7221,0.7126
MAGEB18,1.6115,0.3452,0.9943,0.0098,0.8426,0.2415
FGD4,0.1529,0.0454,0.1343,0.0744,0.4821,0.1292
CMTM3,0.2302,0.1289,0.1196,0.3418,0.3353,0.1901
MBOAT7,0.0621,0.2311,0.1836,0.2559,0.3485,0.0806
DOCK7,0.1642,0.367,0.4913,0.3736,0.4275,0.235
FRMD6,0.7656,0.7241,0.4752,0.8846,0.2382,0.4759
SLC46A1,0.069,0.1872,0.0561,0.1877,0.3889,0.073
LRRC7,0.527,0.2973,0.6538,0.1942,0.5033,0.2721
AGAP3,0.3265,0.0938,0.2344,0.0985,0.2975,0.152
ARAP1,0.2385,0.1219,0.2156,0.1082,0.346,0.0769
SERPINB12,0.8644,0.383,0.9307,0.152,0.7096,0.1796
IPO9,0.5168,0.2984,0.3528,0.3401,0.769,0.3544
DCBLD2,1.0899,3.0204,0.6027,3.6262,0.977,1.3464
PGLYRP2,302.8593,8.4023,252.5527,5.6402,91.7963,138.2387
ADGRA2,0.5829,0.7505,0.2483,0.7841,0.5071,0.2701
FMNL2,0.4649,1.1201,0.4038,1.1369,0.0472,0.4793
TRAPPC9,0.9082,0.1453,0.2991,0.084,0.4655,0.0982
TRNT1,0.0525,0.1082,0.2643,0.124,0.3014,0.2246
TMEM237,0.4677,0.3699,0.2735,0.4254,0.5095,0.1416
SLC38A2,1.4247,7.7672,1.4444,6.2911,1.0731,2.9628
SLC2A13,0.1637,0.1116,0.1427,0.0809,0.2879,0.1083
MTMR9,0.4301,0.1264,0.2145,0.1524,0.3039,0.1166
VPS35,0.6015,1.4875,0.5956,1.7591,0.6121,1.1257
PURB,0.2804,0.1132,0.1425,0.1644,0.9176,0.2053
TSPAN32,0.254,0.0744,0.2196,0.0265,0.2721,0.1328
MAGI1,1.2356,0.357,2.4697,0.363,1.2817,0.1856
PANX1,0.4094,2.2026,0.189,1.8587,0.1396,0.8397
SNX18,0.818,0.5417,0.5216,0.3026,0.5882,0.3391
F2RL3,0.4025,0.1494,0.5052,0.1106,0.4465,0.0752
VPS13A,0.2825,0.137,0.1733,0.0754,0.1712,0.1542
NUDCD1,0.8862,0.5248,1.5927,0.6366,0.7172,0.5657
ERBIN,0.6312,2.8052,0.5716,2.8476,0.6482,1.0617
FNBP1,0.3223,0.1679,0.0838,0.0974,0.3387,0.0976
HMCN1,0.3306,0.1802,0.1455,0.2034,0.4795,0.1457
METTL26,0.3922,0.2947,0.2371,0.3079,1.288,0.3048
RAB40C,0.3888,0.1718,0.3383,0.2492,0.3468,0.2782
RPS6KC1,0.5142,1.6698,0.208,2.0672,1.1125,0.814
CLCC1,0.0635,0.333,0.2372,0.2309,0.3351,0.0292
PEBP4,0.3293,0.1438,0.5458,0.0106,0.3332,0.2539
MYADM,0.9454,6.302,1.2434,4.4643,7.8159,2.305
PLEKHF1,0.1417,0.137,0.2198,0.2238,0.4165,0.2179
SRPK1,0.1737,0.0753,0.1805,0.0385,0.2322,0.096
ZNF607,8.2462,1.2732,6.9081,0.3851,17.0018,4.0965
SLC49A4,0.1014,0.202,0.1519,0.1743,0.3991,0.0826
ORAI2,0.0978,0.0573,0.1483,0.0548,0.2363,0.0661
CEP89,0.269,0.3086,0.291,0.0702,0.2815,0.1499
OSBPL9,0.306,0.1951,0.1995,0.1668,0.5169,0.1744
ADO,0.3753,0.062,0.2753,0.1641,0.3274,0.1408
RUFY1,0.2228,0.2875,0.169,0.2416,0.459,0.1909
MMS19,0.3243,0.219,0.3105,0.1536,0.1378,0.1334
SLC9A7,0.4177,0.409,0.3328,0.2774,0.3991,0.148
NIBAN2,0.8657,7.0655,1.0954,7.9567,1.2161,3.0461
MYCBP,0.3018,0.1294,0.2706,0.1382,0.3804,0.1727
TBCB,0.4041,0.9484,0.2977,1.087,0.3657,0.505
PSMB7,2.4184,1.9888,4.8089,3.4498,4.8019,2.2177
CNN2,3.6402,3.6792,3.1959,4.4976,4.3139,2.944
SEC62,0.6875,0.6198,0.7406,0.7417,0.5823,0.4011
PCYT2,0.1609,0.1706,0.1388,0.1343,0.3065,0.1161
PSMD1,0.4813,0.5802,0.6038,0.6846,0.912,0.61
PFDN5,0.1189,0.3654,0.3144,0.5865,0.2558,0.6729
PARK7,1.4394,3.0372,1.2053,4.0227,0.9819,1.701
S1PR3,1.5807,1.5191,1.6547,1.0047,2.9441,1.0355
SORT1,0.1368,0.1312,0.2322,0.1809,0.3497,0.1071
VAT1,4.2267,16.3045,3.4428,19.5671,5.3169,7.5639
MMP19,0.398,0.1151,0.3686,0.0352,0.4185,0.1522
DNAJC2,0.2412,0.1074,0.186,0.0775,0.3388,0.155
PKP4,0.6532,0.1401,0.1628,0.1289,0.3623,0.1178
PIK3R4,0.5516,0.0359,0.635,0.1707,0.4313,0.234
SERPINI1,0.2849,0.1543,0.1937,0.0991,0.1747,0.107
S100A13,0.7747,2.7982,0.5918,4.7682,0.7847,1.0703
ZBTB18,3.6829,0.1357,3.0171,0.0378,2.6543,1.3295
TSNAX,0.1591,0.1492,0.1555,0.1238,0.1988,0.08
TTC1,0.4116,0.2657,0.4694,0.2581,0.1632,0.2141
DNAJC7,0.2953,0.1643,0.3079,0.163,0.3075,0.1056
C12orf57,0.4263,0.2211,0.4082,0.3117,0.3901,0.0561
COPS8,0.3505,0.3533,0.3491,0.3268,0.4728,0.1452
OSMR,1.134,0.5493,1.3463,0.4138,1.2003,0.6739
CHP1,0.4635,1.8092,0.1649,2.6045,0.5168,0.707
MGLL,0.5757,0.9941,0.7887,1.169,0.6112,0.887
ATXN2,1.7377,0.4108,3.5473,0.2179,3.0959,2.9714
DOK1,0.1687,0.0921,0.1606,0.0704,0.2923,0.0821
MTR,0.9396,0.11,0.681,0.111,0.1225,0.0535
HSD17B10,0.5533,0.1878,0.5391,0.2984,0.7245,0.2091
COL12A1,0.5072,4.5691,0.2591,1.205,15.1553,3.1943
SMAD5,0.5196,0.4144,0.5007,0.4196,1.2539,0.3823
SEPTIN5,0.2723,0.0424,0.253,0.0646,0.2459,0.1748
SIGMAR1,0.2982,0.9074,0.1969,0.3313,0.2183,0.1731
LITAF,1.1108,3.1253,1.1011,2.605,0.9938,1.8379
NAP1L4,0.8769,0.6761,1.0343,1.3999,1.2433,1.1004
NAPG,0.5835,1.2894,0.6534,1.5467,0.3086,0.6244
PIP5K1A,0.3129,1.3134,0.6418,1.4763,0.4908,0.6525
OLFM1,0.7293,0.0356,0.7788,0.0498,1.6225,0.3575
CMKLR1,0.4702,0.9276,0.2834,1.1418,0.781,0.5341
ACO2,0.2221,0.1282,0.0969,0.1312,0.2967,0.1016
TM9SF2,0.6833,1.0398,0.9485,0.9727,0.4068,0.8331
SLC29A1,0.3235,1.8169,0.772,1.4254,0.8178,0.7121
TSG101,2.0043,1.7885,1.8227,1.6861,0.4882,1.2303
CIB1,0.3276,0.1356,0.2521,0.0907,0.2431,0.067
CPNE1,0.7134,2.223,0.7834,2.1425,0.682,1.0883
CCT7,1.7409,1.8951,1.7659,1.9943,1.7961,1.6338
MYD88,0.2609,0.3982,0.0933,0.1367,0.2951,0.0942
PRMT1,1.6736,0.9094,1.1426,0.7708,1.1131,0.9142
AGPAT1,0.5863,0.2799,0.5481,0.2169,0.5428,0.3003
PKP2,0.2823,0.9689,0.223,0.8325,0.2957,0.3483
SH3GL1,1.2275,1.8904,1.4222,2.3477,0.6074,1.6031
SEMA3C,0.2027,0.0717,0.0681,0.0306,0.2794,0.121
NIPSNAP1,0.5291,0.9283,0.2781,1.0962,0.8199,0.7297
ARPC5L,0.4871,0.09,0.283,0.167,0.3318,0.0773
MAPKAP1,0.2617,0.0475,0.2468,0.0664,0.3211,0.1157
ZFYVE21,0.2556,0.1085,0.1468,0.1668,0.3014,0.0923
PDCD1LG2,0.113,0.4258,0.2323,0.5515,0.5341,0.2022
GRWD1,0.1967,0.0794,0.1753,0.0872,0.2401,0.0618
WDR77,0.5442,0.4207,0.295,0.3966,0.4385,0.4298
CYBC1,0.338,0.1216,0.2687,0.1784,0.3733,0.1305
VKORC1,0.2444,0.3527,0.2969,0.5581,0.466,0.2052
DPH2,1.3949,0.0462,1.1697,0.0174,0.8969,0.5574
APOL2,0.2087,0.3162,0.1016,0.3201,0.4386,0.101
TMEM47,0.3623,1.0828,0.2134,0.546,0.5984,0.2874
FYCO1,0.1987,0.0604,0.1541,0.0471,0.346,0.0891
ACBD6,0.2883,0.0663,0.1657,0.0858,0.2434,0.1161
CORO1B,0.7403,0.7524,0.5426,1.1374,1.1461,0.8254
TXNDC17,1.1623,1.4268,1.1444,2.5355,3.6325,1.1369
CPPED1,0.5167,0.5953,0.4098,0.647,1.1041,0.1652
VPS25,0.8387,0.4108,0.788,0.3956,0.8973,0.5555
NUDT16L1,4.4881,0.3196,5.3107,0.2503,5.1226,1.497
MXRA8,0.3516,0.7494,0.3013,0.5872,0.413,0.3761
SDF4,0.3043,0.0427,0.244,0.0796,0.5053,0.1742
PDCD2L,0.0999,0.0558,0.0738,0.0262,0.3474,0.0922
PAAF1,0.1786,0.0394,0.12,0.0279,0.2629,0.0476
AIFM2,0.3355,0.4777,0.8735,0.4379,2.3346,0.1592
ADPGK,0.3069,0.1407,0.1271,0.1649,0.2701,0.1462
MIEN1,0.2534,0.3317,0.2548,0.5814,0.2706,0.0795
PELO,0.2598,0.1583,0.1795,0.1745,0.2832,0.1211
TRIM56,0.1437,0.0449,0.1357,0.062,0.2108,0.0455
ERP44,0.4343,0.5106,0.436,0.5196,0.5064,0.4834
LXN,0.2809,0.2785,0.2327,0.2987,0.4532,0.2025
TTYH2,0.1725,0.0832,0.1846,0.0498,0.2125,0.0808
ATG101,0.2877,0.4894,0.2262,0.1241,0.1618,0.1088
NTPCR,0.0771,0.0911,0.1378,0.1045,0.2419,0.0795
TUBGCP2,0.2153,0.0588,0.0489,0.0577,0.2295,0.0417
ESYT1,0.3838,1.8791,0.4416,1.8482,0.5454,0.8563
MARVELD1,0.5581,0.2831,0.2507,0.2709,0.4658,0.198
CCM2,0.3802,1.2793,0.1179,1.0087,1.182,0.5682
YIPF4,0.1992,0.1203,0.15,0.1464,0.3247,0.2507
ALG1,0.3023,0.1951,0.1801,0.2065,0.3073,0.1052
INPP5K,0.3451,0.2164,0.1808,0.1082,0.2266,0.0704
PSMG3,0.4028,0.1607,0.3968,0.1189,0.3936,0.2559
COPS4,0.5058,0.3442,0.2652,0.5071,0.6312,0.3966
SYT11,1.9589,0.2834,0.4006,0.2856,0.593,0.198
DCTN5,0.1516,0.0612,0.2915,0.1291,0.3232,0.1712
AARSD1,0.3219,0.107,0.2179,0.0885,0.3551,0.0883
LRRC1,0.3277,0.204,0.2048,0.2904,0.353,0.1827
PI4K2A,0.4297,0.7366,0.5173,0.7393,0.7451,0.3848
TMEM43,0.6118,0.823,0.61,0.8093,1.5235,0.4787
TBCD,4.9759,0.5713,3.7091,0.4294,0.6434,0.8231
FUCA2,5.973,0.3377,4.5314,0.1597,2.0352,2.5211
DHRS4,0.1831,0.1872,0.1589,0.0526,0.095,0.147
LMF2,0.3467,0.5632,0.4146,0.5614,0.3893,0.188
DOHH,1.5947,0.2937,1.2153,0.2792,1.1193,0.2936
SPON2,4.1597,0.459,3.666,0.39,2.4894,2.2718
TUBB6,1.5064,2.3201,1.6439,2.3065,0.9678,1.6598
PAXX,0.3359,1.3092,0.0566,0.1272,0.5491,0.2299
MSTO1,0.314,0.095,0.2916,0.154,0.2791,0.1988
PDCD10,0.7864,1.8469,1.0633,2.3078,1.2579,1.1769
MENT,1.6078,1.0198,1.0235,0.9306,1.287,0.7867
DERL1,0.1934,1.1554,0.2201,0.8857,0.6937,0.404
HTATIP2,0.569,0.2764,0.4005,0.3453,0.5807,0.2989
BDH2,0.4888,0.4227,0.3497,0.4336,0.2367,0.3187
MRI1,0.7596,0.3051,0.2714,0.3099,0.5346,0.127
WDR18,0.1525,0.0342,0.1282,0.0377,0.2377,0.0183
THUMPD3,0.2174,0.1477,0.2147,0.1323,0.3598,0.1632
ADI1,0.1434,0.2785,0.2004,0.3238,0.4878,0.1293
RNF126,0.4153,0.4636,0.4992,0.2203,0.1798,0.304
NTMT1,0.2547,0.1921,0.3735,0.2078,0.2672,0.1738
MLST8,0.3592,0.1205,0.2556,0.0963,0.2392,0.0613
TMEM109,0.4318,0.3486,0.3141,1.0227,0.2814,0.2767
PBDC1,0.4381,0.3311,0.2938,0.3205,0.7387,0.3122
DUSP23,0.9768,0.3271,0.8843,0.2677,0.3481,0.5062
TMED9,0.2407,1.0339,0.2677,0.7452,1.2577,0.3572
DPCD,0.793,0.0494,0.6792,0.0993,0.7216,0.3653
KATNAL1,0.6065,0.2259,0.3183,0.1305,0.2226,0.1043
IFT27,0.2785,0.2199,0.2956,0.271,0.3982,0.3391
ACAT2,0.4293,0.8183,0.8491,1.0415,0.588,0.8827
RPAP1,1.1619,0.1618,0.9527,0.0652,0.6825,0.6208
COLEC11,0.4052,0.0429,0.4817,0.0125,0.169,0.1503
GTPBP2,0.5967,0.1616,0.2929,0.1471,0.2982,0.2374
JAM3,1.3696,4.62,1.801,3.4404,1.3565,1.8253
STRA6,0.6748,3.2923,0.3142,3.8891,0.3834,1.3531
OSBPL10,0.2019,0.1092,0.0844,0.0921,0.3238,0.1107
RAB11FIP5,0.6167,0.5547,0.6566,0.3522,1.0613,0.1692
TBC1D10A,0.3884,2.318,0.1852,2.4184,0.5697,0.9073
NAA15,0.4482,0.3118,0.1668,0.3498,0.3159,0.3036
QTRT1,0.2435,0.0629,0.1756,0.0498,0.2989,0.1321
CFHR5,0.0901,0.1043,0.2038,0.0176,0.2612,0.2293
TMEM59,0.9396,0.1518,0.1906,0.1666,0.499,0.1212
AP1M1,0.5292,0.7913,0.6004,0.8608,0.6739,0.5434
ITPA,2.0567,0.4288,1.1285,0.6189,0.687,1.0109
CHMP4A,0.2692,0.3635,0.2843,0.5493,0.6328,0.1177
EIF2A,0.301,0.3741,0.3262,0.3678,0.3169,0.4029
CADM1,1.1533,1.3437,0.6303,1.4194,0.6771,0.4846
ANGPTL4,0.2017,0.2894,0.3314,0.2468,0.8294,0.577
GNB1L,0.2755,0.0608,0.0548,0.0675,0.1197,0.0846
TMPRSS13,1.4975,1.4272,1.0807,0.0943,0.5095,0.4338
SPRR2G,0.3035,0.0849,1.1223,0.1089,0.4669,0.0847
CDHR2,0.3486,0.2675,0.3179,0.2414,0.2767,0.097
HYCC1,0.5717,0.8092,0.3288,0.8953,0.3609,0.3293
SRXN1,0.2778,0.6711,0.3393,0.5813,0.1602,0.493
NLN,0.3475,0.2487,0.2138,0.3035,0.3174,0.0901
TBC1D2,0.264,0.1182,0.1672,0.0957,0.3149,0.0902
DOCK9,0.9226,1.2457,0.9187,1.2987,0.9636,0.6073
FRMD8,0.1916,1.1702,0.3047,1.3856,0.1624,0.5276
ASPSCR1,0.4524,0.1379,0.2859,0.1451,0.1264,0.0835
OSBPL8,0.2872,0.2578,0.3425,0.2289,0.242,0.1875
UACA,11.0374,3.2899,4.7205,2.9446,5.0358,2.9501
RAB34,0.5397,2.6875,0.5929,2.3376,0.9366,0.87
WDR11,0.1181,0.149,0.9424,0.1466,0.2832,0.3064
UBL5,0.4637,0.5584,0.2619,0.5713,0.4289,0.3438
PRKD2,0.1945,0.1269,0.1156,0.1141,0.3146,0.116
ULBP3,0.2305,0.1762,0.2689,0.3589,0.158,0.1997
ULBP2,0.1734,0.4338,0.2175,0.4654,0.4882,0.216
ULBP1,0.3209,0.5147,0.3976,0.4391,0.8212,0.1632
NIBAN1,0.7262,3.6554,0.7789,4.2097,0.8824,1.9239
UBXN6,0.3615,0.5115,0.2338,0.5188,0.8722,0.4592
UCK2,0.3173,0.2178,0.1912,0.1101,0.2419,0.037
SPRY4,0.4149,0.2624,0.3149,0.3887,0.371,0.3808
TRIM5,7.8767,0.1458,5.6878,0.024,7.3342,2.3291
TRIM4,0.2494,0.2109,0.206,0.0703,0.2455,0.0446
ZDHHC5,0.193,2.2317,0.3421,2.4444,0.9859,1.085
TNKS1BP1,0.4481,0.2283,0.2791,0.274,0.586,0.1595
UBE2O,0.6801,0.0774,0.6024,0.1537,0.2037,0.3645
TANC1,0.2539,0.2215,1.5976,0.1753,0.6039,0.1499
XPO4,0.2779,0.1503,0.2685,0.2917,0.1874,0.2401
LNPK,0.2734,0.6523,0.16,0.6143,0.3449,0.2652
TTYH3,3.4558,1.7236,3.1998,1.2537,0.5133,2.0163
ARHGAP39,0.2358,0.1453,0.1902,0.0776,0.2896,0.0265
MTMR12,0.3637,0.0572,0.1799,0.0402,0.3386,0.189
CCSER1,0.5243,0.0905,0.5225,0.0115,0.1364,0.1362
STRADB,0.5358,0.1543,0.1494,0.1179,0.3244,0.1079
ADISSP,0.3873,0.1065,0.2859,0.1487,0.0579,0.0541
COMMD5,0.1569,0.1397,0.155,0.1542,0.2701,0.1193
SKIC8,0.4181,0.3171,0.2139,0.3076,0.287,0.2841
CHST5,4.3,0.4884,2.5272,0.4898,3.3123,1.4808
SRR,0.2667,0.0493,0.2149,0.033,0.2873,0.1642
NIF3L1,0.2899,0.1099,0.4208,0.176,0.183,0.1879
CTDSP1,0.3586,0.495,0.2141,0.5181,0.4956,0.3039
HAPLN2,0.5421,0.1662,3.1832,0.2156,5.194,0.9028
NAA50,0.8556,0.3254,0.5342,0.388,0.3347,0.3621
UBA5,0.4587,0.7003,0.5878,0.5988,0.3215,0.6346
LHPP,0.1983,0.02,0.1554,0.0847,0.3368,0.1036
ADAM19,3.284,3.8306,1.8442,3.4617,5.7223,2.8848
SLC22A4,0.3189,0.5262,0.2793,0.481,0.2593,0.157
PAIP1,0.5214,0.2566,0.4173,0.3569,0.787,0.3521
RAB33B,7.5579,15.38,7.6511,12.3085,5.9347,10.3414
NUAK2,0.9426,0.0366,0.7559,0.1407,0.5967,0.5259
COMMD4,0.3763,0.1634,0.2841,0.1834,0.5689,0.1517
KLC2,0.2364,0.1345,0.1524,0.0904,0.265,0.0858
TMEM117,0.3431,0.5219,0.1257,0.4945,0.6402,0.3003
TOLLIP,0.5076,1.0758,0.5084,1.4993,1.8242,0.5368
WWP1,1.0618,1.2714,1.0301,0.668,1.6769,0.4677
NT5C3A,0.2763,0.0994,0.2826,0.0847,0.378,0.2171
TMEM222,0.153,0.0547,0.1646,0.0881,0.2178,0.0244
MAGT1,0.4656,0.1415,0.1709,0.1438,0.3491,0.0571
RAB1B,1.0149,3.2694,2.1953,3.8902,3.1379,2.6693
CCDC8,0.3227,0.0887,0.2632,0.0932,0.3598,0.0923
C11orf54,0.1027,0.2681,0.1635,0.2212,0.4891,0.1844
FAM234A,0.5837,2.1051,0.8835,2.2767,0.3315,0.7114
BCL11A,0.3566,0.4636,0.1934,0.0582,0.2513,0.1372
SIL1,0.2598,0.285,0.4687,0.1625,0.4671,0.2409
XYLT2,0.6439,0.0506,0.3278,0.0306,0.5767,0.0868
CYSTM1,0.1881,0.6692,0.219,0.7787,0.3621,0.2902
NUCKS1,0.847,0.1723,0.1019,0.1648,0.3054,0.0801
TMX4,0.4575,0.0725,0.3458,0.1066,0.5757,0.2008
ASCC2,0.2928,0.0703,0.2387,0.1177,0.3878,0.1332
WNT5B,3.157,0.8361,2.3397,0.8014,1.5341,1.6634
TLNRD1,0.3177,0.5963,0.5589,0.2613,0.4996,0.0589
OSBPL2,0.342,0.174,0.1896,0.1335,0.2679,0.0568
MEGF9,0.6534,0.1367,0.392,0.0571,0.309,0.1078
ATG5,0.1688,0.0757,0.1854,0.1351,0.4142,0.1415
WDR13,0.2411,0.168,0.1613,0.0774,0.0588,0.1088
EHD4,6.2916,23.5873,5.7102,23.0948,3.3103,10.1533
C1orf21,0.341,0.1742,0.192,0.2096,0.3057,0.0857
VPS33B,94.4549,84.3733,112.3912,57.0855,144.4897,27.3614
VPS16,0.2773,0.3062,0.3218,0.3064,0.6305,0.2091
VPS11,0.6247,0.3109,0.1297,0.2578,0.5073,0.1874
SH3BGRL3,1.1613,2.3833,0.9299,8.1048,0.7513,2.1881
GAN,0.3469,0.1233,0.1411,0.1292,0.114,0.1302
TRIOBP,0.3839,0.6982,0.3469,0.6861,0.264,0.3955
SLK,2.1176,0.5899,0.21,0.8757,0.331,0.3429
PPIL3,0.3905,0.1081,0.2165,0.1363,0.2844,0.0511
SLC38A1,0.5597,4.4757,0.7553,3.7817,0.4064,1.8914
PDCL3,0.2897,0.0567,0.1856,0.1621,0.2625,0.1109
SLC6A15,0.4923,0.3633,0.2384,0.3977,0.3607,0.2453
TAOK3,0.309,0.901,0.438,0.7644,0.3997,0.4012
RAB3GAP2,0.5716,0.8925,0.6867,0.8411,1.1874,0.6956
DPH5,0.2163,0.062,0.163,0.0633,0.2697,0.0952
DHX36,0.2986,0.1959,0.2483,0.0899,0.2856,0.1227
PPA2,0.2699,0.1374,0.2027,0.091,0.2728,0.1054
SPNS1,1.147,2.2724,1.5683,1.7164,1.1743,0.9619
CDIP1,0.395,0.5439,0.2911,0.3906,0.1505,0.2969
PABPC3,0.2542,0.089,0.1956,0.2009,0.3472,0.1111
KCTD10,0.3456,0.2435,0.2683,0.2966,0.4968,0.1119
C11orf68,0.488,0.2513,0.0571,0.1588,0.364,0.0634
DPAGT1,0.2967,0.1598,0.1981,0.1156,0.3113,0.0573
BOLA2,0.5838,0.9165,0.5902,0.9158,0.547,0.6335
TXNIP,0.2682,0.2528,0.1117,0.2862,0.3474,0.1888
TMX1,0.1824,1.0914,0.1498,0.8936,0.7469,0.4092
ACBD3,0.3118,0.1415,0.3138,0.2414,0.2264,0.3089
CDC42EP4,0.2225,0.0834,0.1837,0.095,0.2344,0.0215
PTPN23,0.3449,0.2586,0.2063,0.2999,0.0952,0.2301
UNC45A,0.652,0.3854,0.4467,0.5755,0.5309,0.3202
MFSD1,0.1206,0.3406,0.258,0.2258,0.5773,0.2028
DNAJC5,0.3345,1.5176,0.4085,1.5679,0.1712,0.5285
